time,direction,accel,label,recording_id
0.057,m_x,-0.1,Alohomora,1_aiknf
0.102,m_x,-0.15,Alohomora,1_aiknf
0.154,m_x,-0.36,Alohomora,1_aiknf
0.205,m_x,-0.52,Alohomora,1_aiknf
0.254,m_x,-0.92,Alohomora,1_aiknf
0.307,m_x,-1.32,Alohomora,1_aiknf
0.356,m_x,-1.23,Alohomora,1_aiknf
0.407,m_x,-1.02,Alohomora,1_aiknf
0.458,m_x,-0.99,Alohomora,1_aiknf
0.508,m_x,0.75,Alohomora,1_aiknf
0.568,m_x,1.22,Alohomora,1_aiknf
0.61,m_x,2.8,Alohomora,1_aiknf
0.66,m_x,4.06,Alohomora,1_aiknf
0.71,m_x,4.16,Alohomora,1_aiknf
0.76,m_x,3.41,Alohomora,1_aiknf
0.811,m_x,2.3,Alohomora,1_aiknf
0.862,m_x,0.99,Alohomora,1_aiknf
0.912,m_x,-1.03,Alohomora,1_aiknf
0.962,m_x,-3.43,Alohomora,1_aiknf
1.014,m_x,-4.28,Alohomora,1_aiknf
1.067,m_x,-4.91,Alohomora,1_aiknf
1.117,m_x,-4.77,Alohomora,1_aiknf
1.168,m_x,-4.05,Alohomora,1_aiknf
1.218,m_x,-3.06,Alohomora,1_aiknf
1.271,m_x,-1.73,Alohomora,1_aiknf
1.322,m_x,-0.17,Alohomora,1_aiknf
1.373,m_x,1.09,Alohomora,1_aiknf
1.424,m_x,2.13,Alohomora,1_aiknf
1.476,m_x,1.89,Alohomora,1_aiknf
1.528,m_x,2.6,Alohomora,1_aiknf
1.578,m_x,0.87,Alohomora,1_aiknf
1.63,m_x,2.32,Alohomora,1_aiknf
1.681,m_x,1.85,Alohomora,1_aiknf
1.732,m_x,-0.25,Alohomora,1_aiknf
1.783,m_x,-0.59,Alohomora,1_aiknf
1.834,m_x,-0.08,Alohomora,1_aiknf
1.884,m_x,0.07,Alohomora,1_aiknf
1.935,m_x,0.28,Alohomora,1_aiknf
1.985,m_x,0.27,Alohomora,1_aiknf
2.036,m_x,0.17,Alohomora,1_aiknf
2.087,m_x,-0.44,Alohomora,1_aiknf
2.138,m_x,-0.61,Alohomora,1_aiknf
2.189,m_x,-0.31,Alohomora,1_aiknf
2.24,m_x,-0.12,Alohomora,1_aiknf
2.292,m_x,0.23,Alohomora,1_aiknf
2.343,m_x,0.2,Alohomora,1_aiknf
2.394,m_x,0.14,Alohomora,1_aiknf
2.445,m_x,0.06,Alohomora,1_aiknf
2.497,m_x,-0.13,Alohomora,1_aiknf
2.547,m_x,-0.14,Alohomora,1_aiknf
2.598,m_x,-0.04,Alohomora,1_aiknf
2.648,m_x,-0.06,Alohomora,1_aiknf
2.699,m_x,0.05,Alohomora,1_aiknf
2.75,m_x,-0.03,Alohomora,1_aiknf
2.8,m_x,0.05,Alohomora,1_aiknf
2.851,m_x,-0.08,Alohomora,1_aiknf
2.902,m_x,-0.05,Alohomora,1_aiknf
2.953,m_x,-0.04,Alohomora,1_aiknf
3.003,m_x,-0.02,Alohomora,1_aiknf
0.057,m_y,0.04,Alohomora,1_aiknf
0.102,m_y,-0.07,Alohomora,1_aiknf
0.154,m_y,-0.05,Alohomora,1_aiknf
0.205,m_y,0.1,Alohomora,1_aiknf
0.254,m_y,0.16,Alohomora,1_aiknf
0.307,m_y,0.29,Alohomora,1_aiknf
0.356,m_y,0.5,Alohomora,1_aiknf
0.407,m_y,0.98,Alohomora,1_aiknf
0.458,m_y,1.5,Alohomora,1_aiknf
0.508,m_y,1.85,Alohomora,1_aiknf
0.568,m_y,1.77,Alohomora,1_aiknf
0.61,m_y,1.58,Alohomora,1_aiknf
0.66,m_y,0.81,Alohomora,1_aiknf
0.71,m_y,1,Alohomora,1_aiknf
0.76,m_y,0.33,Alohomora,1_aiknf
0.811,m_y,0.7,Alohomora,1_aiknf
0.862,m_y,0.15,Alohomora,1_aiknf
0.912,m_y,0.29,Alohomora,1_aiknf
0.962,m_y,-0.02,Alohomora,1_aiknf
1.014,m_y,-0.33,Alohomora,1_aiknf
1.067,m_y,0.41,Alohomora,1_aiknf
1.117,m_y,1.04,Alohomora,1_aiknf
1.168,m_y,2.3,Alohomora,1_aiknf
1.218,m_y,3.35,Alohomora,1_aiknf
1.271,m_y,4.11,Alohomora,1_aiknf
1.322,m_y,5.4,Alohomora,1_aiknf
1.373,m_y,6.36,Alohomora,1_aiknf
1.424,m_y,7.37,Alohomora,1_aiknf
